"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"1";0,079854013;0,481447988;0,00321385;1,616080644;0,497697719
"2";0,194121872;0,788175154;0,48741225;0,714902439;0,560740337
"3";0,032245268;1,678350784;2,490170623;0,699229091;0,04746907
"4";2,450584243;1,281058464;2,814696631;0,152758152;0,000723999
"5";1,515527241;2,827835171;5,847918203;2,554050199;1,903793722
"6";9,094275871;2,86151444;0,054088713;0,029681572;1,511484873
"7";0,741304527;0,370050718;0,080804039;0,308320584;2,042520671
"8";0,037025493;2,231003063;0,000806068;0,042143242;0,26813195
"9";0,009136077;0,319526868;2,771642492;0,180150634;0,009191055
"10";1,3225e-05;1,343922662;0,35287389;0,089030915;0,667193727
"11";6,76916324;0,200514879;0,045320448;0,312199926;3,194114679
"12";0,091563475;2,53759473;6,75107439;1,93796164;2,340806866
"13";0,267634212;0,129190638;1,153943306;0,084293456;0,142331347
"14";0,116381141;0,079766105;0,14334662;1,320006387;0,205129887
"15";0,000561758;0,002909328;0,748882441;0,112220162;0,297075286
"16";0,095596369;0,078440574;9,390499567;0,050299417;0,767153865
"17";0,00576927;0,198525738;0,236013;1,246796673;0,010408746
"18";1,805359502;0,01644871;1,422594133;0,902239568;12,095664029
"19";5,68e-07;0,37675122;0,602248729;4,924427063;0,002856338
"20";0,352653715;0,769354461;0,104196603;6,863840834;4,384583891
"21";0,23433194;0,081124138;6,050863612;0,084817599;0,466124264
"22";0,272297485;1,84707668;0,09464213;0,703093383;0,6347388
"23";3,75071715;0,115693618;1,069041843;1,092548475;1,749462846
"24";0,765895645;1,138601601;0,82862673;0,134285596;1,010080862
"25";1,84177791;0,985527615;5,657478378;5,5129e-05;0,002867138
"26";0,032987793;0,053608341;0,024399231;0,002426495;0,112838419
"27";0,015688615;0,117433351;1,836797702;0,474743676;1,471501018
"28";0,021200339;2,082582777;0,296929389;0,125463367;0,098267651
"29";15,768386955;31,66875954;1,138626364;0,121394222;2,900713046
"30";0,335100853;0,662499853;3,396582577;1,167823394;0,607517953
"31";7,899326164;1,700155106;0,750986352;0,001564556;1,645174283
"32";0,075780079;0,345043431;2,412276222;20,971293268;1,303088727
"33";1,05575148;0,656501245;0,756663257;2,405898457;0,824418612
"34";1,801622621;1,796244739;1,410476215;3,084646943;1,547218012
"35";3,565245969;0,463077433;0,226123988;0,500880265;0,755714271
"36";0,154900783;1,32279773;0,002207871;0,724756735;0,015359701
"37";8,003756188;2,13948318;0,236512887;1,307180011;2,337222171
"38";0,093748735;0,372394692;2,428746633;2,105283329;5,752769227
"39";0,083830042;0,725333911;3,248127898;0,510245322;3,609171526
"40";3,459e-05;0,376510446;4,441339424;1,477761505;0,000517107
"41";2,70906719;0,726373257;0,03434344;5,45325401;2,88972479
"42";0,035016706;2,066066601;1,371531072;1,321977208;0,718635279
"43";0,042709218;0,647543379;4,166850675;3,305817258;0,366146903
"44";1,436586657;0,901037149;0,328593823;0,078579121;0,988244622
"45";0,906858569;2,02046869;0,083347194;0,260463448;0,026387485
"46";0,473918817;0,045380622;0,750930438;0,262741854;0,202009726
"47";4,736394405;1,647440386;3,553233081;0,016124051;1,199027421
"48";9,553069428;7,094007963;0,070672902;1,224685831;8,104016384
"49";5,446743257;1,2146e-05;5,019451045;1,233439862;4,347312957
"50";3,363429329;0,681051644;0,708388993;2,087056667;1,203390143
"51";0,078945328;2,591960488;1,3303e-05;0,300750694;0,138300809
"52";0,170475698;1,183826394;0,050856427;0,036932309;0,16712613
"53";0,013709188;0,599226799;0,098494919;0,076092298;0,260903399
"54";0,003810887;3,810940807;0,031693443;0,414442074;2,064368796
"55";0,214778514;3,601211909;1,970104886;2,088956876;12,949495591
"56";0,257456061;0,062955954;5,535302998;0,446614051;2,372683558
"57";0,150436668;0,035022304;0,13268522;1,493759699;0,344803722
"58";0,200473613;3,371212292;0,32376596;1,166578047;0,020352069
"59";0,518702423;0,881862935;3,344018929;15,808133249;2,014900085
"60";0,256265627;0,809567161;0,61652655;1,786807065;1,828332442
