"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"A1";11,402587795;1,279780797;0,320376992;8,531562277;0,926929371
"A2";0,413100889;13,528074669;3,495250359;21,668574934;0,773290429
"A3";10,185962617;1,604155405;5,694738168;0,809343168;13,021954574
"A4";2,335853839;8,314048409;11,181308603;19,291997246;0,011459225
"A5";8,139174538;0,578515395;0,001063667;27,236624567;2,240967483
"A6";8,758768654;0,195520246;15,952301932;1,606695653;1,623346111
"A7";12,017307654;0,341040326;0,01148649;1,347628836;5,019165371
"A8";0,091756167;3,30591205;15,510721329;3,263587057;17,51976691
"A9";9,699392546;12,568883938;1,385052106;1,752394676;0,071984697
"A10";3,87419062;2,398785017;12,564830632;0,279306963;12,63180237
"A11";11,767626963;4,686983631;2,064858645;5,954508751;4,136987621
"A12";6,436693645;19,030723032;0,617229156;0,009524094;6,510924964
"A13";5,403936837;20,65931785;2,145399872;0,012156324;5,244790537
"A14";0,029849905;7,764777516;20,03444367;5,007446543;2,766588168
"A15";0,856136943;1,052345497;0,01284167;1,540634557;27,235912982
"B";8,587660387;2,691136222;9,008096711;1,688014353;0,264129186
